City,Latitude,Longitude,Max Temp_F,Humidity_%,Cloudiness_%,Wind Speed,Country,Date
Cape Town,-33.9258,18.4232,64.09,80,20,7.02,ZA,1607925600
Punta Arenas,-53.15,-70.9167,40.51,81,65,12.62,CL,1607925600
Mount Gambier,-37.8333,140.7667,92.57,25,73,7.96,AU,1607925600
Chui,-33.6971,-53.4616,58.42,85,47,6.78,UY,1607925600
Marawi,7.9986,124.2928,81.14,78,100,6.11,PH,1607925600
Arraial do Cabo,-22.9661,-42.0278,74.64,88,100,20.49,BR,1607925600
Ribeira Grande,38.5167,-28.7,57.78,63,28,24.38,PT,1607925600
Chu,43.5983,73.7614,15.48,92,0,4.59,KZ,1607925600
Saint-Philippe,-21.3585,55.7679,75.56,81,86,14.27,RE,1607925600
Husavik,66.0449,-17.3389,36.45,82,49,18.84,IS,1607925600
Ixtapa,20.7,-105.2,66.6,74,10,2.46,MX,1607925600
Ponta do Sol,32.6667,-17.1,63.81,81,33,9.62,PT,1607925600
Tonneins,44.3921,0.3124,47.43,86,49,10.4,FR,1607925600
Rikitea,-23.1203,-134.9692,75.88,71,41,6.08,PF,1607925600
Bluff,-46.6,168.3333,57.31,76,79,8.48,NZ,1607925600
Maniitsoq,65.4167,-52.9,18.0,92,95,11.92,GL,1607925600
Manching,48.7166,11.4939,35.11,95,19,5.55,DE,1607925600
Puerto Ayora,-0.7393,-90.3518,72.64,89,99,11.7,EC,1607925600
Barrow,71.2906,-156.7887,-4.49,79,1,19.04,US,1607925600
Zambezi,-13.5432,23.1047,67.89,89,100,11.07,ZM,1607925600
São Miguel do Araguaia,-13.275,-50.1628,73.9,90,98,3.06,BR,1607925600
Mataura,-46.1927,168.8643,63.88,62,91,4.52,NZ,1607925600
Nouadhibou,20.931,-17.0347,64.35,76,56,19.91,MR,1607925600
Departamento de Maldonado,-34.6667,-54.9167,57.72,80,10,0.49,UY,1607925600
Hong Kong,22.2855,114.1577,66.24,70,90,10.89,HK,1607925600
Clyde River,70.4692,-68.5914,-15.14,78,1,3.74,CA,1607925600
Hobart,-42.8794,147.3294,86.68,29,0,4.76,AU,1607925600
Bucerías,20.75,-105.3333,67.57,86,1,3.53,MX,1607925600
Qaanaaq,77.484,-69.3632,23.5,91,100,2.62,GL,1607925600
Tiksi,71.6872,128.8694,-27.99,81,28,2.42,RU,1607925600
Nizhniy Baskunchak,48.2198,46.8311,24.03,93,96,15.28,RU,1607925600
Hithadhoo,-0.6,73.0833,82.83,75,98,16.26,MV,1607925600
Boyolangu,-8.1181,111.8935,77.09,86,100,5.41,ID,1607925600
Ballina,-28.8667,153.5667,73.02,92,95,20.78,AU,1607925600
Lamu,-2.2717,40.902,81.21,80,2,7.87,KE,1607925600
Cidreira,-30.1811,-50.2056,70.27,92,99,7.43,BR,1607925600
Norman Wells,65.282,-126.8329,-31.4,73,23,4.99,CA,1607925600
Upernavik,72.7868,-56.1549,22.87,98,100,10.8,GL,1607925600
Shirakawa,37.1223,140.2376,35.73,71,66,13.24,JP,1607925600
Mnogovershinnyy,53.9353,139.9242,15.71,98,100,18.1,RU,1607925600
Atuona,-9.8,-139.0333,78.98,77,1,13.33,PF,1607925600
Torbay,47.6666,-52.7314,31.59,99,95,21.83,CA,1607925600
Hamilton,39.1834,-84.5333,39.96,79,95,4.18,US,1607925600
Hilo,19.7297,-155.09,75.63,78,81,4.07,US,1607925600
Moyo,3.6609,31.7247,77.9,48,36,3.09,UG,1607925600
Ayamé,5.6083,-3.1563,73.26,96,3,1.74,CI,1607925600
Batagay-Alyta,67.8006,130.4114,-33.63,66,0,1.16,RU,1607925600
Tucumcari,35.1717,-103.725,27.07,87,1,8.59,US,1607925600
Taywarah,33.35,64.4167,16.72,92,64,0.74,AF,1607925600
Aras,42.5617,-2.356,43.92,95,100,2.95,ES,1607925600
Kruisfontein,-34.0033,24.7314,69.12,79,21,12.5,ZA,1607925600
Kumul,42.8,93.45,21.38,66,0,1.52,CN,1607925600
New Norfolk,-42.7826,147.0587,90.59,24,0,8.01,AU,1607925600
Kavaratti,10.5669,72.642,84.13,70,19,2.71,IN,1607925600
Ilulissat,69.2167,-51.1,20.79,87,100,12.91,GL,1607925600
West Des Moines,41.572,-93.7453,23.41,90,10,9.98,US,1607925600
Albany,42.6001,-73.9662,34.61,81,62,3.29,US,1607925600
Kristiansand,58.1467,7.9956,41.99,89,100,19.62,NO,1607925600
Linares,-35.85,-71.6,51.13,47,0,4.94,CL,1607925600
Masuguru,-11.3667,38.4167,81.36,74,91,5.77,TZ,1607925600
Patitiri,39.15,23.8667,55.81,89,95,36.13,GR,1607925600
Chaiya,9.3862,99.1986,86.16,75,58,8.52,TH,1607925600
Evensk,61.95,159.2333,-3.55,83,1,15.73,RU,1607925600
Chifeng,42.2683,118.9636,5.41,82,0,10.0,CN,1607925600
Vaini,-21.2,-175.2,79.2,87,87,25.37,TO,1607925600
Lang Son,21.8333,106.7333,57.52,79,91,9.22,VN,1607925600
Nanortalik,60.1432,-45.2371,31.59,96,100,5.03,GL,1607925600
Provideniya,64.3833,-173.3,15.17,94,100,26.4,RU,1607925600
San Patricio,28.017,-97.5169,49.53,55,79,19.84,US,1607925600
Mareeba,-17.0,145.4333,82.33,69,100,3.22,AU,1607925600
Moctezuma,29.8,-109.6667,51.73,40,0,6.71,MX,1607925600
Touros,-5.1989,-35.4608,77.32,85,60,11.7,BR,1607925600
Olinda,-8.0089,-34.8553,78.57,71,56,12.08,BR,1607925600
Itainópolis,-7.4469,-41.4783,78.82,50,23,3.74,BR,1607925600
Hermanus,-34.4187,19.2345,65.43,77,1,5.59,ZA,1607925600
Longyearbyen,78.2186,15.6401,14.61,90,79,5.26,SJ,1607925600
Ancud,-41.8697,-73.8203,55.13,95,95,25.01,CL,1607925600
Havelock,34.8791,-76.9013,60.26,97,79,2.48,US,1607925600
Kaitangata,-46.2817,169.8464,61.75,62,95,4.0,NZ,1607925600
Pekan,3.4836,103.3996,83.95,77,59,8.25,MY,1607925600
Ketchikan,55.3422,-131.6461,35.53,89,95,6.31,US,1607925600
Hobyo,5.3505,48.5268,80.51,67,2,20.6,SO,1607925600
Dikson,73.5069,80.5464,-8.75,91,100,11.07,RU,1607925600
Erenhot,43.6475,111.9767,2.89,85,12,10.49,CN,1607925600
Lompoc,34.6391,-120.4579,55.56,92,93,4.36,US,1607925600
Yumen,40.2833,97.2,18.84,89,98,8.25,CN,1607925600
Esperance,-33.8667,121.9,66.18,51,54,17.11,AU,1607925600
Avera,33.194,-82.5271,62.82,90,95,11.25,US,1607925600
Avarua,-21.2078,-159.775,81.46,75,11,7.23,CK,1607925600
Ugoofaaru,5.6667,73.0,82.74,66,5,4.7,MV,1607925600
Pathein,16.7833,94.7333,85.05,54,0,3.31,MM,1607925600
Corner Brook,48.9667,-57.9484,26.11,94,94,9.93,CA,1607925600
Tasiilaq,65.6145,-37.6368,32.09,93,100,18.32,GL,1607925600
Goose Creek,32.981,-80.0326,62.11,89,94,4.5,US,1607925600
Denpasar,-8.65,115.2167,79.68,88,87,12.12,ID,1607925600
Umluj,25.0213,37.2685,79.12,31,0,8.93,SA,1607925600
Taoudenni,22.6783,-3.9836,64.36,29,65,7.65,ML,1607925600
Mazatán,14.8667,-92.45,75.56,79,55,4.41,MX,1607925600
Severo-Kuril'sk,50.6789,156.125,34.83,89,99,35.28,RU,1607925600
Tuktoyaktuk,69.4541,-133.0374,-5.55,84,69,8.28,CA,1607925600
Butaritari,3.0707,172.7902,82.18,77,5,18.21,KI,1607925600
Malbork,54.0359,19.0266,33.82,96,97,4.23,PL,1607925600
Ituporanga,-27.4144,-49.6025,68.85,95,97,1.07,BR,1607925600
Yuncheng,35.0231,110.9928,32.85,62,3,4.16,CN,1607925600
Port Alfred,-33.5906,26.891,71.22,86,0,15.05,ZA,1607925600
Halifax,44.6453,-63.5724,47.03,95,92,8.86,CA,1607925600
Bandarbeyla,9.4942,50.8122,75.99,64,58,21.52,SO,1607925600
La Rioja,42.25,-2.5,44.58,94,100,4.56,ES,1607925600
Leshukonskoye,64.8989,45.7622,15.04,97,100,5.03,RU,1607925600
Port Hedland,-20.3167,118.5667,86.07,60,29,14.23,AU,1607925600
Thompson,55.7435,-97.8558,-20.33,84,3,6.24,CA,1607925600
Menongue,-14.6585,17.691,65.17,74,78,5.73,AO,1607925600
Inhambane,-23.865,35.3833,83.84,80,26,5.75,MZ,1607925600
Gold Coast,-28.0,153.4333,74.62,82,92,19.3,AU,1607925600
Baykit,61.67,96.37,-8.63,86,96,1.61,RU,1607925600
Vila Franca do Campo,37.7167,-25.4333,55.74,68,23,16.08,PT,1607925600
Deep River,46.1001,-77.4995,18.97,88,86,1.34,CA,1607925600
Mar del Plata,-38.0023,-57.5575,53.6,73,0,13.29,AR,1607925600
Fortuna,40.5982,-124.1573,45.68,91,41,2.04,US,1607925600
Port Blair,11.6667,92.75,82.08,71,42,11.36,IN,1607925600
Half Moon Bay,37.4636,-122.4286,51.62,88,45,12.66,US,1607925600
Asău,46.4333,26.4,35.6,92,38,2.73,RO,1607925600
Barranca,-10.75,-77.7667,66.54,87,99,7.07,PE,1607925600
Aksu,41.1231,80.2644,27.55,88,69,1.88,CN,1607925600
Juegang,32.3174,121.1855,39.7,64,88,16.4,CN,1607925600
Saldanha,-33.0117,17.9442,63.75,81,44,4.07,ZA,1607925600
Maţāy,28.419,30.7792,64.54,31,0,6.06,EG,1607925600
Sur,22.5667,59.5289,75.72,41,0,12.24,OM,1607925600
Hearst,49.6835,-83.6665,12.54,93,100,4.59,CA,1607925600
Goderich,43.7501,-81.7165,34.52,77,100,13.62,CA,1607925600
Sayville,40.7359,-73.0821,45.82,64,69,8.46,US,1607925600
Porto Murtinho,-21.6989,-57.8825,79.77,72,69,2.68,BR,1607925600
Saint Paul Harbor,57.79,-152.4072,42.13,94,95,9.37,US,1607925600
Durango,24.8333,-104.8333,44.89,57,28,2.53,MX,1607925600
San Fernando del Valle de Catamarca,-28.4696,-65.7852,64.71,61,7,12.62,AR,1607925600
Saint George,37.1041,-113.5841,39.24,50,59,4.07,US,1607925600
Urengoy,65.9667,78.3667,4.33,94,100,9.15,RU,1607925600
Milton,34.1322,-84.3007,62.47,94,100,11.32,US,1607925600
Suamico,44.6319,-88.0393,27.32,82,93,13.11,US,1607925600
Lebu,-37.6167,-73.65,51.19,84,4,9.6,CL,1607925600
Kousséri,12.0769,15.0306,71.1,26,1,6.2,CM,1607925600
Mogadishu,2.0371,45.3438,79.93,69,0,15.48,SO,1607925600
Tuatapere,-46.1333,167.6833,58.15,72,88,5.46,NZ,1607925600
Paamiut,61.994,-49.6678,22.64,91,100,29.24,GL,1607925600
Cosalá,24.4125,-106.6908,61.03,65,0,3.47,MX,1607925600
Mackay,-21.15,149.2,82.09,56,75,9.71,AU,1607925600
Crotone,39.0851,17.1178,53.17,71,3,24.29,IT,1607925600
Kailua,21.4022,-157.7394,77.0,77,27,4.25,US,1607925600
Geraldton,-28.7667,114.6,74.05,46,0,22.19,AU,1607925600
Pangnirtung,66.1451,-65.7125,-2.4,72,11,7.07,CA,1607925600
Qarqīn,37.4185,66.0436,27.97,98,99,6.04,AF,1607925600
Lakes Entrance,-37.8811,147.981,79.54,48,0,9.4,AU,1607925600
Lüderitz,-26.6481,15.1594,64.02,72,0,16.28,NA,1607925600
Narsaq,60.9167,-46.05,28.56,89,100,2.15,GL,1607925600
Campos dos Goytacazes,-21.75,-41.3,72.03,86,100,7.45,BR,1607925600
Yangi Marg`ilon,40.4272,71.7189,35.04,85,95,4.03,UZ,1607925600
Jennings,38.7192,-90.2604,34.61,85,80,8.03,US,1607925600
Kaeo,-35.1,173.7833,68.32,60,0,6.2,NZ,1607925600
Sinnamary,5.3833,-52.95,77.32,85,19,5.12,GF,1607925600
Alofi,-19.0595,-169.9187,79.66,82,95,25.5,NU,1607925600
Yerbogachën,61.2767,108.0108,-15.81,87,100,8.48,RU,1607925600
Souillac,-20.5167,57.5167,79.36,86,75,14.5,MU,1607925600
Nikolskoye,59.7035,30.7861,25.29,92,93,2.8,RU,1607925600
Rafaela,-31.2503,-61.4867,57.25,57,0,8.08,AR,1607925600
Bilma,18.6853,12.9164,64.74,31,0,11.41,NE,1607925600
Muros,42.7762,-9.0603,56.98,82,9,18.19,ES,1607925600
Port Moresby,-9.4431,147.1797,87.06,64,59,4.52,PG,1607925600
Kasama,-10.2129,31.1808,65.82,93,100,2.37,ZM,1607925600
Khvastovichi,53.4694,35.0941,27.95,95,95,8.93,RU,1607925600
Zhangjiakou,40.81,114.8794,13.84,67,0,12.21,CN,1607925600
Rawson,-43.3002,-65.1023,64.04,31,63,20.11,AR,1607925600
Yenagoa,4.9247,6.2642,75.61,92,6,1.81,NG,1607925600
Misratah,32.3754,15.0925,60.69,73,7,22.3,LY,1607925600
Lhokseumawe,5.1801,97.1507,83.82,69,100,5.17,ID,1607925600
Broome,42.2506,-75.833,31.96,96,79,2.3,US,1607925600
Dolzhanskaya,46.6311,37.8039,40.3,71,100,19.08,RU,1607925600
Khatanga,71.9667,102.5,-14.71,88,100,9.71,RU,1607925600
Antiguo Morelos,22.5495,-99.0812,69.35,50,68,14.94,MX,1607925600
Anadyr,64.75,177.4833,18.55,82,95,9.6,RU,1607925600
Naze,28.3667,129.4833,57.29,89,86,22.86,JP,1607925600
Salalah,17.0151,54.0924,73.11,36,18,17.25,OM,1607925600
Palmer,42.1584,-72.3287,32.68,81,11,5.01,US,1607925600
Rocha,-34.4833,-54.3333,55.38,91,22,4.7,UY,1607925600
Uthal,25.8072,66.6219,73.62,26,0,8.81,PK,1607925600
Krasnorechenskiy,44.6265,135.3532,-2.72,84,60,15.86,RU,1607925600
Caravelas,-17.7125,-39.2481,72.37,92,1,3.11,BR,1607925600
Kirakira,-10.4544,161.9205,84.45,73,76,1.74,SB,1607925600
Russell,32.3502,-85.1999,64.4,88,92,12.12,US,1607925600
Bengkulu,-3.8004,102.2655,83.79,67,96,9.33,ID,1607925600
Keti Bandar,24.1447,67.4497,73.6,28,0,11.77,PK,1607925600
Mailsi,29.8003,72.1758,68.99,42,0,1.23,PK,1607925600
Buin,-33.7333,-70.75,64.2,29,0,4.09,CL,1607925600
Grindavik,63.8424,-22.4338,41.5,70,49,22.77,IS,1607925600
Porto Torres,40.835,8.3972,50.47,83,0,4.9,IT,1607925600
La Ronge,55.1001,-105.2842,-4.83,83,0,4.81,CA,1607925600
Savannah Bight,16.45,-85.85,80.38,84,0,18.84,HN,1607925600
Hecun,36.5333,114.1111,33.08,55,0,7.54,CN,1607925600
San Cristobal,7.7669,-72.225,61.54,76,74,1.88,VE,1607925600
Ambon City,-3.6954,128.1814,88.05,65,58,9.08,ID,1607925600
Karasburg,-28.0167,18.75,68.25,30,0,3.0,NA,1607925600
Berëzovka,53.7214,25.4993,32.83,97,100,2.59,BY,1607925600
Laguna,38.421,-121.4238,48.04,88,36,6.6,US,1607925600
Killybegs,54.6333,-8.45,48.78,87,93,19.44,IE,1607925600
Sobolevo,54.4299,31.8996,29.32,99,100,6.08,RU,1607925600
Port Elizabeth,-33.918,25.5701,70.38,86,54,17.65,ZA,1607925600
Koshurnikovo,54.1667,93.3,13.19,97,100,5.19,RU,1607925600
Bambous Virieux,-20.3428,57.7575,78.84,87,62,15.41,MU,1607925600
Alta Floresta,-9.8756,-56.0861,70.77,95,100,0.83,BR,1607925600
Sittwe,20.15,92.9,80.74,60,2,3.78,MM,1607925600
Nueve de Julio,-35.4444,-60.8831,58.23,46,0,4.9,AR,1607925600
Labuhan,-6.8844,112.2051,80.2,81,100,5.3,ID,1607925600
Zarubino,42.63,131.0922,15.21,77,6,22.55,RU,1607925600
Yar-Sale,66.8333,70.8333,6.57,95,100,12.55,RU,1607925600
Riyadh,24.6877,46.7219,60.3,53,3,4.41,SA,1607925600
Deputatsky,69.3,139.9,-20.09,88,100,3.65,RU,1607925600
Mandurah,-32.55,115.7,68.56,42,26,19.75,AU,1607925600
Juneau,58.3019,-134.4197,24.75,85,93,9.08,US,1607925600
Grand Gaube,-20.0064,57.6608,80.15,78,22,16.62,MU,1607925600
Balakliya,49.4627,36.8595,34.11,91,95,13.89,UA,1607925600
Seoul,37.5683,126.9778,22.26,55,1,12.39,KR,1607925600
Mayskiy,47.6931,40.1025,33.22,96,95,15.43,RU,1607925600
Bairiki Village,1.3292,172.9752,82.87,73,55,16.73,KI,1607925600
Roald,62.5833,6.1333,43.57,57,100,11.77,NO,1607925600
Ahipara,-35.1667,173.1667,66.54,68,11,3.42,NZ,1607925600
Krasnyy Oktyabr',56.1167,38.8833,20.44,94,100,6.64,RU,1607925600
North Bend,43.4065,-124.2243,44.65,94,77,5.84,US,1607925600
George Town,5.4112,100.3354,84.74,73,41,4.43,MY,1607925600
Napāsar,27.9667,73.55,66.25,43,0,8.99,IN,1607925600
Parangan,5.0839,119.9383,85.19,65,89,4.59,PH,1607925600
Lufilufi,-13.8745,-171.5986,83.5,86,93,20.04,WS,1607925600
Midyat,37.4247,41.3393,48.76,85,95,12.33,TR,1607925600
Mabaruma,8.2,-59.7833,72.75,95,100,1.03,GY,1607925600
Balkanabat,39.5108,54.3671,42.82,60,0,15.19,TM,1607925600
Lofthus,59.9468,10.8018,35.24,90,99,4.7,NO,1607925600
Morant Bay,17.8815,-76.4093,77.16,79,48,7.23,JM,1607925600
Chapais,49.7834,-74.8492,2.46,93,95,6.53,CA,1607925600
Sirte,31.2089,16.5887,60.94,71,40,25.12,LY,1607925600
Baghmara,23.795,86.2085,80.22,48,44,3.96,IN,1607925600
Bijāwar,24.6333,79.5,66.06,49,67,6.35,IN,1607925600
Mabamba,-3.5983,30.5019,67.75,91,100,1.48,TZ,1607925600
Bredasdorp,-34.5322,20.0403,67.12,71,1,5.82,ZA,1607925600
Saint Anthony,45.0205,-93.218,22.06,76,58,12.1,US,1607925600
Palana,59.1167,159.9667,9.52,93,34,13.24,RU,1607925600
Monte Patria,-30.6919,-70.9467,59.09,61,0,1.5,CL,1607925600
Mount Isa,-20.7333,139.5,99.19,19,96,8.97,AU,1607925600
Lakhdenpokh'ya,61.5198,30.1992,21.7,97,97,2.1,RU,1607925600
Tūkrah,32.5341,20.5791,61.23,70,29,25.46,LY,1607925600
Novobiryusinskiy,56.9578,97.7076,9.64,93,100,9.86,RU,1607925600
Hofn,64.2539,-15.2082,38.1,88,99,33.24,IS,1607925600
Plérin,48.5425,-2.7798,50.68,89,9,14.23,FR,1607925600
Vorobyevka,50.6451,40.9245,24.4,96,100,12.3,RU,1607925600
Cabo San Lucas,22.8909,-109.9124,65.8,66,3,4.09,MX,1607925600
Broken Hill,-31.95,141.4333,95.36,16,1,10.47,AU,1607925600
Calatayud,41.3535,-1.6432,47.71,87,100,3.15,ES,1607925600
Brae,60.3964,-1.353,48.47,88,100,25.14,GB,1607925600
Mossamedes,-15.1961,12.1522,66.11,81,38,0.2,AO,1607925600
Berdigestyakh,62.0989,126.6992,-37.26,81,47,4.32,RU,1607925600
Itaituba,-4.2761,-55.9836,75.65,86,100,1.61,BR,1607925600
Gazli,40.1333,63.45,30.22,85,0,0.27,UZ,1607925600
Santander,43.4647,-3.8044,57.02,89,58,5.28,ES,1607925600
Melfi,40.9965,15.6514,42.24,84,79,5.41,IT,1607925600
Boende,-0.2167,20.8667,72.5,91,30,3.11,CD,1607925600
Quatre Cocos,-20.2078,57.7625,78.94,87,63,15.52,MU,1607925600
Asadābād,34.7824,48.1185,44.06,79,39,3.11,IR,1607925600
Dhangadhi,28.7079,80.5961,70.45,48,0,3.56,NP,1607925600
Romitan,39.9343,64.3814,30.11,83,0,0.65,UZ,1607925600
Igrim,63.1906,64.4162,18.93,93,33,8.97,RU,1607925600
Katsuura,35.1333,140.3,51.69,56,75,15.68,JP,1607925600
Waipawa,-41.4122,175.5153,56.73,71,18,8.86,NZ,1607925600
Kieta,-6.2167,155.6333,84.61,73,69,6.29,PG,1607925600
Santa Isabel Rio Negro,-0.4139,-65.0192,73.76,94,99,2.28,BR,1607925600
Mana,5.6592,-53.7767,76.89,87,29,6.64,GF,1607925600
Hualmay,-11.0964,-77.6139,66.7,86,94,6.46,PE,1607925600
Faya,18.3851,42.4509,57.67,48,0,1.81,SA,1607925600
Cherskiy,68.75,161.3,-17.9,87,100,5.53,RU,1607925600
Takoradze,4.8845,-1.7554,78.15,87,27,5.93,GH,1607925600
Viedma,-40.8135,-62.9967,64.29,27,40,15.79,AR,1607925600
Mandalgovi,45.7625,106.2708,-0.6,78,5,9.4,MN,1607925600
Chokurdakh,70.6333,147.9167,-17.55,89,100,6.62,RU,1607925600
Hasaki,35.7333,140.8333,48.51,55,86,19.66,JP,1607925600
Dingle,10.9995,122.6711,84.33,77,5,10.78,PH,1607925600
Klaksvík,62.2266,-6.589,46.47,91,100,37.45,FO,1607925600
Mayo,38.8876,-76.5119,45.77,74,29,6.53,US,1607925600
Kangaatsiaq,68.3065,-53.4641,18.23,94,100,14.29,GL,1607925600
Pacific Grove,36.6177,-121.9166,52.88,90,77,11.83,US,1607925600
Chumikan,54.7183,135.315,-6.36,80,100,20.22,RU,1607925600
Paciran,-6.8767,112.3761,80.94,79,100,6.4,ID,1607925600
Yayva,59.3303,57.2641,7.68,92,99,6.22,RU,1607925600
Syracuse,37.0881,15.2792,54.05,76,0,11.95,IT,1607925600
Aborlan,9.4352,118.5492,88.23,65,32,8.25,PH,1607925600
Port Hardy,50.6996,-127.4199,43.21,91,95,9.06,CA,1607925600
Leningradskiy,69.3833,178.4167,16.54,89,100,20.98,RU,1607925600
Te Anau,-45.4167,167.7167,69.6,42,98,2.08,NZ,1607925600
Codrington,-38.2667,141.9667,88.9,34,78,7.7,AU,1607925600
Shingū,33.7333,135.9833,49.55,60,54,17.07,JP,1607925600
Sorong,-0.8833,131.25,85.26,71,100,9.84,ID,1607925600
Las Cruces,32.3123,-106.7783,37.27,59,63,3.36,US,1607925600
Fairview,40.8126,-73.999,43.7,63,52,5.7,US,1607925600
Ulladulla,-35.35,150.4667,72.88,62,69,12.93,AU,1607925600
Lavrentiya,65.5833,-171.0,12.9,84,100,36.42,RU,1607925600
Darnah,32.767,22.6367,61.54,70,64,32.19,LY,1607925600
Cabedelo,-6.9811,-34.8339,78.06,87,56,13.4,BR,1607925600
Maningrida,-12.0667,134.2667,88.45,61,93,9.86,AU,1607925600
São Filipe,14.8961,-24.4956,74.43,73,16,9.37,CV,1607925600
Calvinia,-31.4707,19.776,65.26,34,0,3.83,ZA,1607925600
Cayenne,4.9333,-52.3333,77.13,93,34,2.95,GF,1607925600
Srivilliputtur,9.5081,77.6336,79.25,69,43,5.35,IN,1607925600
Olenegorsk,68.15,33.3,15.19,97,88,1.23,RU,1607925600
Baharly,38.4362,57.4316,34.81,78,0,12.01,TM,1607925600
Wau,7.7029,27.9953,81.36,29,20,4.12,SS,1607925600
Kavieng,-2.5744,150.7967,85.8,69,100,9.24,PG,1607925600
Yulara,-25.2406,130.9889,95.74,25,20,3.36,AU,1607925600
Pundaguitan,6.3711,126.1689,79.11,84,100,1.68,PH,1607925600
Santiago del Estero,-27.7951,-64.2615,65.97,42,8,6.51,AR,1607925600
Pāndoh,31.6833,77.05,64.2,29,0,3.74,IN,1607925600
Belmonte,-15.8631,-38.8828,74.07,81,0,1.79,BR,1607925600
Pimentel,-6.8367,-79.9342,66.79,85,90,9.98,PE,1607925600
Quryq,43.2,51.65,31.87,87,0,22.91,KZ,1607925600
Shimoda,34.6667,138.95,54.34,52,50,21.16,JP,1607925600
Bambanglipuro,-7.95,110.2833,82.74,73,98,8.79,ID,1607925600
Atasū,48.6814,71.6433,10.08,89,94,3.09,KZ,1607925600
Beyla,8.6833,-8.6333,66.7,92,1,1.97,GN,1607925600
Pringsewu,-5.3582,104.9744,84.6,74,84,2.57,ID,1607925600
Belaya Gora,68.5333,146.4167,-20.33,87,100,5.1,RU,1607925600
Bratsk,56.1325,101.6142,11.39,89,87,9.46,RU,1607925600
Tsaratanana,-16.7833,47.65,79.05,63,47,11.07,MG,1607925600
Port Lincoln,-34.7333,135.8667,80.4,53,5,7.31,AU,1607925600
Raudeberg,61.9875,5.1352,44.56,59,100,15.41,NO,1607925600
Beloha,-25.1667,45.05,86.92,47,0,6.98,MG,1607925600
Erzin,36.9559,36.2,58.62,64,100,10.65,TR,1607925600
Nemuro,43.3236,145.575,27.68,60,22,13.94,JP,1607925600
Mīnjūr,13.2667,80.2667,81.77,65,37,7.43,IN,1607925600
Buala,-8.145,159.5921,85.08,72,49,6.96,SB,1607925600
Orós,-6.2444,-38.9136,80.35,61,38,4.29,BR,1607925600
Grande Prairie,55.1667,-118.8027,3.85,85,40,2.93,CA,1607925600
Bariloche,-41.1456,-71.3082,45.64,73,41,19.26,AR,1607925600
Abu Samrah,35.3029,37.1841,53.8,66,69,10.36,SY,1607925600
Moundsville,39.9203,-80.7431,37.81,79,91,0.85,US,1607925600
Torrington,41.8007,-73.1212,33.33,88,41,5.86,US,1607925600
Gallup,35.5281,-108.7426,24.12,89,37,5.21,US,1607925600
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.36,86,95,43.11,RU,1607925600
Mitsamiouli,-11.3847,43.2844,83.01,64,0,6.44,KM,1607925600
Nome,64.5011,-165.4064,12.25,74,95,32.03,US,1607925600
Tambun,-6.2641,107.0712,92.66,56,41,13.6,ID,1607925600
Florián,5.8049,-73.9703,59.4,83,92,4.32,CO,1607925600
Santa Rosa,14.3122,121.1114,88.36,60,58,11.81,PH,1607925600
Yatou,37.15,122.3833,27.59,92,89,14.58,CN,1607925600
Pevek,69.7008,170.3133,14.9,88,100,22.15,RU,1607925600
Nacala,-14.5428,40.6728,84.79,77,33,9.04,MZ,1607925600
Kismayo,-0.3582,42.5454,81.73,76,0,12.93,SO,1607925600
